method,labeled_percentage,accuracy,dataset_percentage
smart,5.0,0.6370956941003147,20
smart,6.0,0.6416493671733744,20
smart,7.0,0.6427543025513962,20
smart,8.0,0.6437922721489319,20
smart,9.0,0.6464876448135003,20
smart,10.0,0.6474586486305498,20
random,5.0,0.6370956941003147,20
random,6.0,0.6375477131185964,20
random,7.0,0.6391214089600215,20
random,8.0,0.6395734279783031,20
random,9.0,0.6396403937587892,20
random,10.0,0.6400589298868278,20
