method,percentage_set,cores,time
smart,10,1,18.45808243751526
smart,10,1,14.62649393081665
smart,10,1,20.388668537139893
smart,20,2,22.66265344619751
smart,20,2,19.942817449569702
smart,20,2,19.64892315864563
smart,40,4,32.009761333465576
smart,40,4,31.2656831741333
smart,40,4,29.20335865020752
smart,80,8,57.41355180740356
smart,80,8,59.24292302131653
smart,80,8,56.82730770111084
smart,100,10,75.59565043449402
smart,100,10,74.68427658081055
smart,100,10,69.76511192321777
